ID,DOCULECT,CONCEPT,COGID,COGNACY,VALUE,BORROWING,FORM,TOKENS
1245,Kannada,I,237,I-B,na:nu,,na:nu,n aː n u
1448,Malayalam,I,237,I-B,ɲa:n,,ɲa:n,ɲ aː n
2090,Tamil,I,237,I-B,na:n,,na:n,n aː n
741,Telugu,I,237,I-B,ne:nu,,ne:nu,n eː n u
1253,Kannada,all,1,all-A,ella,,ella,e lː a
1459,Malayalam,all,1,all-A,ella,,ella,e lː a
2100,Tamil,all,1,all-A,ella:m,,ella:m,e lː aː m
4,Telugu,all,2,all-B,anta,,anta,a n t a
755,Telugu,all,335,all-C,mottamu,,mottamu,m o tː a m u
754,Telugu,all,337,all-E,anni,,anni,a nː i
1552,Malayalam,ashes,3,ashes-A,tʃa:mbal,,tʃa:mbal,tʃ aː m b a l
1551,Malayalam,ashes,3,ashes-A,tʃa:ɾam,,tʃa:ɾam,tʃ aː ɾ a m
2193,Tamil,ashes,3,ashes-A,sa:mbal,,sa:mbal,s aː m b a l
1329,Kannada,ashes,4,ashes-B,bu:di,,bu:di,b uː d i
847,Telugu,ashes,4,ashes-B,bu:ɖida,,bu:ɖida,b uː ɖ i d a
10,Malayalam,bark,6,bark-A,paṭṭa,,paṭṭa,p a ʈː a
2123,Tamil,bark,6,bark-A,paʈʈe,,paʈʈe,p a ʈː e
11,Telugu,bark,6,bark-A,paṭṭa,,paṭṭa,p a ʈː a
12,Kannada,bark,7,bark-B,nāru,,nāru,n aː r u
778,Telugu,bark,302,bark-D,beɾaɖu,,beɾaɖu,b e ɾ a ɖ u
1270,Kannada,bark,432,bark-G,togaʈi,,togaʈi,t o g a ʈ i
1483,Malayalam,bark,436,bark-K,maɾattoli,,maɾattoli,m a ɾ a tː o l i
1516,Malayalam,belly,8,belly-A,ʋajaɾə,,ʋajaɾə,ʋ a j a ɾ ə
13,Tamil,belly,8,belly-A,vayiṟu,,vayiṟu,v a y i r̪ u
15,Kannada,belly,9,belly-B,hoṭṭe,,hoṭṭe,h o ʈː e
1295,Kannada,belly,9,belly-B,hoʈʈa,,hoʈʈa,h o ʈː a
809,Telugu,belly,9,belly-B,poʈʈa,,poʈʈa,p o ʈː a
