ID	DOCULECT	CONCEPT	COGID	COGNACY	VALUE	BORROWING	FORM	TOKENS
1772	Badga	I	237	I-B	na		na	n a
2223	Betta_Kurumba	I	237	I-B	na:ʋə		na:ʋə	n aː ʋ ə
2436	Brahui	I	237	I-B	i:		i:	iː
2543	Gondi	I	237	I-B	nanna		nanna	n a nː a
1245	Kannada	I	237	I-B	na:nu		na:nu	n aː n u
1347	Kodava	I	237	I-B	na:nə		na:nə	n aː n ə
2651	Kolami	I	237	I-B	ne:nu		ne:nu	n eː n u
2754	Kota	I	237	I-B	a:n		a:n	aː n
1120	Koya	I	237	I-B	nanna		nanna	n a nː a
2332	Kurukh	I	237	I-B	ae:n		ae:n	a eː n
2857	Kuwi	I	237	I-B	na:nu		na:nu	n aː n u
2858	Kuwi	I	237	I-B	mu		mu	m u
1448	Malayalam	I	237	I-B	ɲa:n		ɲa:n	ɲ aː n
2970	Malto	I	237	I-B	he:nu		he:nu	h eː n u
3090	Ollari_Gadba	I	237	I-B	a:n		a:n	aː n
548	Parji	I	237	I-B	ān		ān	aː n
2090	Tamil	I	237	I-B	na:n		na:n	n aː n
741	Telugu	I	237	I-B	ne:nu		ne:nu	n eː n u
1979	Toda	I	237	I-B	o:n		o:n	oː n
1878	Tulu	I	237	I-B	ja:nu		ja:nu	j aː n u
1570	Yeruva	I	237	I-B	na:n		na:n	n aː n
1780	Badga	all	1	all-A	ella		ella	e lː a
1253	Kannada	all	1	all-A	ella		ella	e lː a
1355	Kodava	all	1	all-A	ella		ella	e lː a
2762	Kota	all	1	all-A	ella:m		ella:m	e lː aː m
1459	Malayalam	all	1	all-A	ella		ella	e lː a
2100	Tamil	all	1	all-A	ella:m		ella:m	e lː aː m
1131	Koya	all	2	all-B	anta:		anta:	a n t aː
4	Telugu	all	2	all-B	anta		anta	a n t a
1132	Koya	all	335	all-C	mottam		mottam	m o tː a m
755	Telugu	all	335	all-C	mottamu		mottamu	m o tː a m u
1987	Toda	all	336	all-D	oʋʋoɖimo		oʋʋoɖimo	o ʋː o ɖ i m o
754	Telugu	all	337	all-E	anni		anni	a nː i
1578	Yeruva	all	338	all-F	nanga:ɭə		nanga:ɭə	n a n g aː ɭ ə
